Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2024,6.22,1.77,7.73,4.17,3.27,,,,,,,,
2023,3.67,1.52,2.55,5.59,1.97,3.92,6.37,4.07,7.74,2,2.71,8.37,50.48
2022,3.37,2.71,2.64,5.04,5.28,3.39,2.05,2.34,3.11,6.46,2.88,4.78,44.05
2021,1.86,4.73,3.84,2.35,3.84,3.37,7.62,6.59,6.34,5.06,1.01,1.26,47.87
2020,2.29,2.79,3.61,3.98,2.47,3.05,6.69,6.09,4.41,5.03,4.09,5.35,49.85
2019,4.49,3.26,3.84,3.97,6.75,5.15,6.14,3.73,1.25,5.71,1.94,5.32,51.55
2018,2.72,6.08,4.64,4.17,5.8,3.3,5.91,5.56,7.57,4.46,8.65,5.9,64.76
2017,3.71,1.64,4.06,3.82,6.51,3.32,6.29,5.17,2.27,4.97,1.7,1.46,44.92
2016,3.19,4.08,1.87,2.26,4.79,2.4,6.97,2.08,3.45,2.8,2.43,3.27,39.59
2015,4.43,2.18,4.55,2.67,1.21,8.12,3.68,2.26,3.6,4.02,2.3,4.84,43.86
2014,3.12,4.96,3.97,4.42,4.72,3.32,5.23,4.08,2.5,3.64,4.34,4.65,48.95
2013,3,2.89,2.89,2.6,3.82,9.49,5.27,4.67,2.11,2.01,2.89,4.74,46.38
2012,2.78,1.33,1.65,2.87,4.27,4.3,3.43,4.62,4.45,5.43,1.3,5.56,41.99
2011,3.33,3.07,5.55,5.67,3.77,3.43,4.11,15.67,7.12,4.19,3.83,4.21,63.95
2010,2.64,4.62,8.66,2.51,3.35,2.24,4.07,2.51,3.18,5.38,2.17,3.27,44.6
2009,2.93,0.66,2.01,4.4,4.43,6.79,5,7.39,3.99,5.67,2.19,7.71,53.17
2008,2.06,5.24,4.09,2.67,4.57,3.09,3.92,2.34,6.16,2.84,3.8,6.44,47.22
2007,3.6,1.97,4.11,8.45,1.58,4.05,4.47,4.49,0.99,5.5,2.34,5.38,46.93
2006,5.17,1.76,0.82,3.64,3.03,7.88,5.18,3.76,5.85,6.28,5.88,2.16,51.41
2005,4.35,2.42,4.01,4.48,2.56,3.53,4.64,2.12,1.19,11.99,3.91,3.61,48.81
2004,1.98,2.52,3.3,5.32,3.75,3.05,7.52,4.82,6.06,2.28,4.62,3.48,48.7
2003,2.54,4.69,4.07,2.86,3.77,8.43,3.87,4.92,6.26,4.99,4.32,5.76,56.48
2002,2.21,0.75,4.21,3.83,4.26,4.94,1.66,3.73,3.95,6.74,5.1,4.53,45.91
2001,3.03,2.62,5.95,1.83,3.17,5.24,3.1,3.53,2.93,0.93,1,2.22,35.55
2000,3.1,2.16,4.61,3.33,3.82,4.38,5.76,5.33,5.23,0.77,3.15,3.61,45.25
1999,7.19,2.88,4.95,2.71,3.01,1.69,1.27,5.37,9.5,3.34,2.38,2.97,47.26
1998,4.57,4.47,5.11,4.67,5.95,5.04,2.04,2.58,2,2.63,1.35,1.34,41.75
1997,3.18,2.42,4.65,3.86,3.2,2.13,5.19,5.52,2.29,2.36,4.16,3.91,42.87
1996,5.73,2.28,4.32,4.99,3.68,5.07,7.13,3.52,5.66,6.34,2.59,7.87,59.18
1995,3.19,2.37,1.91,1.86,3.73,2.08,4.36,1.71,4.22,6.86,5.07,2.34,39.7
1994,5.42,3.57,7.12,2.89,3.6,3.44,5.3,5.92,2.97,0.95,3.67,2.46,47.31
1993,2.59,2.87,6.9,4.62,1.42,2.64,2.67,3.97,5.51,4.02,2.86,4.64,44.71
1992,1.76,1.92,3.63,1.72,3.26,4.53,4.74,4.81,4.04,1.49,4.76,5.04,41.7
1991,4.33,1.35,5.08,3.83,2.26,2.8,5.7,4.82,4.12,2.14,1.97,4.01,42.41
1990,4.42,1.92,2.73,3.59,7.62,2.9,3.82,8.15,2.24,4.15,2.26,5.16,48.96
1989,2.12,3.03,4.13,3.76,8.43,6.24,6.47,4.73,6.99,5.09,2.74,0.81,54.54
1988,2.9,3.95,2.33,2.36,4.77,1.1,6.42,3.4,2.76,2.68,6.4,0.95,40.02
1987,5.24,1.33,2.93,5.45,2.61,3.33,5.9,4.17,4.54,3.96,3.14,2.14,44.74
1986,4.06,3.48,1.99,5.05,1.26,2.68,5.56,4.42,2.52,2.61,6.33,5.73,45.69
1985,1.4,2.41,1.81,1.03,5.24,3.86,4.63,4.11,5.51,1.75,6.2,1.51,39.46
1984,2.02,4.15,6.34,5.32,8.3,3.47,7.28,2.19,2.22,2.77,2.39,2.68,49.13
1983,3.32,2.94,7.72,9,5.43,3.82,1.98,3.12,2.96,4.74,6.21,7.26,58.5
1982,4.45,2.74,2.38,5.51,3.19,5.28,3.54,2.89,2.38,1.79,3.66,2.14,39.95
1981,0.54,4.6,1.41,4.05,4.48,4.44,3.88,2.64,3.36,3.62,1.56,4.3,38.88
1980,2.25,0.99,6.98,6.27,2.47,3.41,3.65,1.94,2.03,4.14,3.26,0.81,38.2
1979,9.12,5.18,3.52,3.86,5.77,3.64,3.8,5.71,6.3,3.97,3.54,2.08,56.49
1978,7.56,1.4,4.22,1.89,7.04,2.64,4.69,6.71,2.42,1.71,2.49,4.87,47.64
1977,2.29,2.17,4.99,3.7,1.43,3.89,2.54,5.29,4.61,4.24,7.49,5.89,48.53
1976,5.18,2.48,2.1,2.12,3.71,2.98,3.54,4.69,2.65,6.21,0.59,2.41,38.66
1975,5.23,3.29,4.19,3.35,4.55,6.29,8.71,3.7,8.05,3.8,3.68,2.82,57.66
1974,3.57,2.13,5.09,3.15,3.66,3.65,2.3,6.1,5.65,2.07,1.54,5.09,44
1973,4.2,3.55,3.56,6.49,4.94,5.92,3.31,3.17,3.42,3.82,1.45,7.45,51.28
1972,2.65,4.93,3.48,3.81,5.51,8.46,3.92,1.67,2.23,5.3,9.01,5.98,56.95
1971,2.56,5.43,2.96,2.58,4.32,1.41,4.24,10.23,5.96,4.58,5.16,1.95,51.38
1970,0.95,3.07,3.82,5.24,2.66,3.93,3.51,3.38,1.7,3.81,5.31,2.91,40.29
1969,2.02,2.49,2.99,3.14,2.51,3.75,9.34,3.68,4.25,1.69,3.33,7.16,46.35
1968,2.6,1.05,4.91,2.11,6.27,5.25,2.04,2.9,1.7,2.73,4.93,3.38,39.87
1967,1.33,2.48,5.17,2.81,3.95,2.67,6.05,8.71,2.11,2.47,2.11,5.67,45.53
1966,3.21,4,1.67,2.91,3.81,1.18,2.12,2.31,7.57,4.7,2.82,3.94,40.24
1965,3.06,2.69,3.22,2.41,1.68,1.67,3.33,3.43,2.49,2.19,1.4,1.7,29.27
1964,4.52,3.41,2.15,5.9,1,2.28,4.63,0.98,3.19,1.91,2.01,4.45,36.43
1963,2.46,2.35,4.27,0.96,2.52,2.5,2.85,2.93,4.59,0.25,6.74,2.11,34.53
1962,2.96,3.95,3.59,3.95,1.64,4.05,2.75,5.51,3.54,2.57,4.79,2.75,42.05
1961,3.12,3.54,5.38,4.98,3.59,3.12,5.84,3.95,2.6,2.73,2.62,3.42,44.89
1960,3.28,4.41,2.35,3.11,3.8,1.97,7.42,4.76,7.6,2.28,2.25,2.97,46.2
1959,2.26,1.94,3.88,2.9,1.78,4.04,6.92,5.07,2.01,4.64,4.25,4.12,43.81
1958,4.77,4.82,5.31,5.71,4.34,3.15,6.37,6.07,3.92,5.36,2.78,1.56,54.16
1957,1.92,2.69,2.98,4.69,1.44,2.42,1.52,2.07,3.14,2.72,3.96,6.49,36.04
1956,2.4,4.68,4.84,3.34,2.63,4.04,5.9,3.41,3.57,4.13,3.76,4.14,46.84
1955,0.63,2.94,4.38,2.58,1.45,4.33,1.47,11.65,2.52,7.02,2.3,0.4,41.67
1954,1.99,1.77,3.68,3.52,3.92,1.1,1.69,6.65,5.21,2.15,5.12,3.68,40.48
1953,5.21,2.68,6.84,5.46,5.57,3.02,3.89,3.35,1.51,3.78,2.91,4.35,48.57
1952,5.09,2.23,5.39,6.84,5.63,3.63,4.71,7.23,3.7,0.86,4.86,4.32,54.49
1951,3.22,4.04,5.23,2.84,4.08,3.88,4.21,3.06,1.83,4.24,6.45,5.52,48.6
1950,2.35,3.71,4.26,2.08,3.66,2.74,4.66,4.56,3.62,1.98,5.16,3.77,42.55
1949,5.87,3.7,2.61,3.58,4.52,0.32,3.51,4.03,3.94,2.64,1.64,2.8,39.16
1948,4.95,2.49,3.58,3.73,8.38,5.26,4.01,5.98,1.13,2.24,4.75,6.24,52.74
1947,3.71,1.83,2.59,4.1,7.08,3.72,4.35,3.54,2.49,2.04,6.19,2.77,44.41
1946,1.78,2.17,3.16,1.54,6.45,5.1,5.88,4.44,3.34,1.61,1.41,2.4,39.28
1945,2.95,3.15,2.26,3.3,4.55,4.14,8.9,4.54,4.28,2.41,5.46,5.18,51.12
1944,3.6,2.18,5.71,5.4,1.7,4.13,1.36,2.97,7.41,2.46,6.14,3.01,46.07
1943,2.87,2.01,3.1,3.04,4.97,3.49,3.97,1.91,1.76,7.24,3.02,1.48,38.86
1942,2.91,2.69,5.68,1.38,2.51,3.04,7.05,7.8,4.27,3.57,4,4.64,49.54
1941,3.42,2.41,2.81,2.4,1.88,5.04,6.43,3.69,0.29,1.86,2.81,3.75,36.79
1940,1.84,3.01,4.89,5.57,6.07,3.12,2.69,5.96,4.12,2.3,4.67,2.97,47.21
1939,4.12,5.56,4.92,5.17,1.25,3.54,2.36,7.22,1.43,4.37,1.7,1.5,43.14
1938,3.46,2.27,2.08,2.56,3.51,7.85,8.93,3.13,9.38,2.53,3.37,2.9,51.97
1937,6.55,2.4,2.81,4.75,3.18,4.64,2.79,6.47,2.23,5.34,4.47,1.6,47.23
1936,6.55,3.13,5.54,3.12,2.52,4.82,2.98,3.92,4.26,3.2,1.1,6.32,47.46
1935,4.19,2.88,2.57,2.54,1.96,4.59,4.42,2.89,6.69,4.63,5.15,1.89,44.4
1934,2.82,2.92,3.45,3.87,4.66,3.79,3.64,4.05,8.41,2.3,3.1,2.97,45.98
1933,2.42,3.28,4.76,4.73,4.88,2.83,4.07,10.67,5.37,1.86,1.1,3.21,49.18
1932,4.49,2.01,5.73,2.67,3.1,3.68,2.96,2.69,2.29,5.92,7.44,3,45.98
1931,2.04,1.92,4.2,2.73,3.59,4.71,4.08,5.58,1.91,2.69,0.85,2.3,36.6
1930,2.97,2.79,2.57,2.17,2.76,4.53,3.94,3.06,2.11,1.84,3.1,2.64,34.48
1929,3.39,4.05,2.99,6.36,3.13,3.33,1.54,2.69,4.73,4.37,2.77,2.99,42.34
1928,2.27,3.93,2.76,5.43,2.32,6.5,6.15,6.54,4.58,1.22,1.92,1.63,45.25
1927,2.25,3.25,1.52,2.58,3.25,3.12,5.45,7.97,2.53,7.25,3.73,4.59,47.49
1926,2.69,4.18,2.21,2.16,2.57,2.74,5.84,6.75,4.08,3.99,4.04,3.41,44.66
1925,4.29,2.21,3.3,2.54,2.69,2.73,7.68,2.07,2.91,4.57,3.26,2.56,40.81
1924,4.42,4.14,2.86,6.05,5.4,4.46,2.84,4.29,5.41,0.29,2.08,2.71,44.95
1923,5.08,2.67,4.33,3.86,1.61,2.02,4.17,2.59,3.82,3.94,2.45,4.25,40.79
1922,2.85,2.94,4.48,2.55,3.43,5.77,5.51,4.46,1.98,1.44,0.82,3.89,40.12
1921,2.53,3.63,2.86,3.64,3.92,2.93,3.99,4.6,2.39,0.95,4.03,2.41,37.88
1920,2.62,4.18,3.57,4.55,2.88,6.79,5.01,6.15,3.51,1.97,4.37,4.95,50.55
1919,3.6,3.27,5.07,3.22,4.86,3.24,8.57,6.86,2.78,3.45,3.82,3.06,51.8
1918,4.33,2.01,2.23,4.15,5.17,3.46,3.88,2.18,3.85,1.27,1.91,4.04,38.48
1917,3.23,1.91,5.04,2.43,3.66,4.16,5.03,2.59,3.06,7.02,0.54,2.87,41.54
1916,1.53,3.97,3.66,3.11,3.25,4.03,6.02,1.38,2.7,1.33,2.1,4.88,37.96
1915,6.3,5.21,1.12,2.62,3.84,3.21,4.83,8.01,1.89,3.14,1.56,4.78,46.51
1914,3.71,2.81,3.69,3.5,2.39,2.83,6.07,3,0.38,1.77,2.39,6.15,38.69
1913,3.63,2.34,4.89,5.84,3.48,1.76,2.67,4.29,3.98,6.94,2.88,3.04,45.74
1912,3.01,2.47,8.03,3.67,3.99,2.05,4.49,3.43,4.43,2.98,3.25,4.87,46.67
1911,3.64,2.65,3.39,4.14,1.3,5.46,3.55,9.25,2.98,4.86,5.29,3.81,50.32
1910,4.89,2.86,1.23,5.09,2.39,5.35,1.6,3.79,2.35,3.18,3.72,2.9,39.35
1909,3.22,5.03,3.61,5.67,2.4,3.25,2.2,3.84,3.28,1.21,2.56,4.67,40.94
1908,3.71,4.53,2.97,2.7,6.88,2.31,5.11,5.29,1.99,2.64,1.02,3.87,43.02
1907,3.52,2.6,2.91,3.75,4.96,4.56,2.62,3.73,8.03,4.23,5.55,5.08,51.54
1906,2.8,2.65,5.17,3.56,3.87,4.15,5.47,6.56,2.18,4.59,1.69,4.05,46.74
1905,4.42,2.6,3.95,2.92,1.71,3.04,3.7,6.01,4.96,2.62,1.89,3.86,41.68
1904,2.94,2.54,3.47,3.22,2.49,2.93,4.79,6.28,4.77,3.73,2.2,3.11,42.47
1903,3.94,4.82,4.77,3.83,0.64,7.73,5.29,5.96,3.17,8.12,1.29,4.09,53.65
1902,3.24,6.31,4.21,3.58,1.93,6.9,4.51,3.75,5.54,6.06,2.3,7.31,55.64
1901,2.46,0.96,4.6,6.05,5.47,1.74,5.69,9.22,3.57,1.92,2.52,7.41,51.61
1900,3.57,5.23,3.44,2.32,4.4,3.2,4.55,2.79,2.81,3.59,3.35,2.55,41.8
1899,3.75,5.71,6.32,1.67,1.94,2.57,5.74,3.91,5.4,2.44,2.29,2.07,43.81
1898,4.1,3.45,3.15,3.58,6.77,2.07,4.63,5.45,2.05,5.51,6.6,3.63,50.99
1897,2.65,3.67,2.74,3.92,5.37,3.37,11.37,4.89,1.76,2.26,4.87,4.48,51.35
1896,1.61,6.88,5.65,1.35,3.54,5.49,5.38,1.68,4.25,2.41,3.12,1.21,42.57
1895,4.36,1.24,3.28,5.08,3.13,3.09,4.15,2.06,1.06,3.56,3.07,2.78,36.86
